DeepID,StdID,IntDes,LDate,Name,AltName,Owner,State,Mass,DryMass,Length,Diam,Span
D00001,A00016,1959 MU,1959 Jan  2,8K72E No. B1-6,8K72E,RVSN,RU,1472,1472,2.7,5,5
D00002,S00112,1959 MU 1,1959 Jan  2,AMS Luna-1,E-1 No. 4,OKB1,SU,205,205,0.8,2,0.8
D00003,S00113,1959 NU 1,1959 Mar  3,Pioneer 4,Pioneer 4,ABMA,US,7,7,0.2,0.6,0.6
D00004,A00018,1959 NU,1959 Mar  3,Cluster 12 Assembly 4,RTV Motor,ABMA,US,5,5,0.1,1.2,1.2
D00005,A00019,1959 NU,1959 Mar  3,Despin weight,-,JPL,US,0,0,?,1.5,?
D00006,A00020,1959 NU,1959 Mar  3,Despin weight,-,JPL,US,0,0,?,1.5,?
D00007,S00114,1959 XI 1,1959 Sep 12,AMS Luna-2,E-1 No. 7,OKB1,SU,205,205,0.8,2,0.8
D00008,A00033,1959 XI,1959 Sep 12,8K72E No. I1-7B,8K72E,RVSN,RU,1511,1511,2.7,5,5
D00009,S00021,1959 THE 1,1959 Oct  4,AMS Luna-3,E-2A,OKB1,SU,278,278,1.2,1.5,1.3
D00010,A00035,1959 THE,1959 Oct  4,8K72E No. I1-8,8K72E,RVSN,RU,1553,1553,2.7,5,5
D00011,S00027,1960 ALP 1,1960 Mar 11,Pioneer V,P-2,NASA,US,43,43,0.7,2.4,0.7
D00012,A00042,1960 ALP,1960 Mar 11,Altair SV 67,JATO X-248A7 SV 67,USAF,US,24,24,0.5,1.7,1.7
D00013,A00044,1960-U01,1960 Apr 15,8K72E No. L1-9,8K72E,RVSN,SU,1780.000?,1500,2.7,5,5
D00014,A00045,1960-U01,1960 Apr 15,[Luna-4],E-3 No. 1,NII88,SU,280.000?,280.000?,1.2,1.5,1.3
D00015,A00079,1961 GAM,1961 Feb 12,Blok-L No. L1-6B,Blok-L,RVSN,SU,5000.000?,900.000?,2.5,2.7,2.7
D00016,S00080,1961 GAM 1,1961 Feb 12,AMS Venera,1VA No. 2,OKB1,SU,620,620,1,3.000?,2
D00017,S00098,1961 KAP,1961 Mar 25,Explorer 10,P-14,GSFC,US,35,35,0.5,2.2,1.3
D00018,A00090,1961 KAP,1961 Mar 25,Altair,Altair X-248-A5?,GSFC,US,24,24,0.5,1.7,1.7
