DeepID,Name,Phase,Body,PStart,PEnd,Dest,Epoch,Period,Apogee
D00001,8K72E No. B1-6,0,Earth,1959 Jan  2 1641,,Launch from NIIP-5 LC1 by Vostok-L 8K72,,,
D00001,8K72E No. B1-6,1,Earth,1959 Jan  2 1641,1959 Jan  2 1653,Separated from launch vehicle,,,
D00001,8K72E No. B1-6,2,Earth,1959 Jan  2 1653,1959 Jan  3 0349?,Entered deep space,1959 Jan  3,-370? x,-242160? x
D00001,8K72E No. B1-6,3,Earth,1959 Jan  3 0349?,1959 Jan  3 1956?,Entered lunar sphere,1959 Jan  3,-370? x,-242160? x
D00001,8K72E No. B1-6,4,Luna,1959 Jan  3 1956?,1959 Jan  4 0300?,Flyby Luna,1959 Jan  4 0300?,6000? x,-11300? x
D00001,8K72E No. B1-6,5,Luna,1959 Jan  4 0300?,1959 Jan  4 1000?,Entered Earth sphere,1959 Jan  4 0300?,6000? x,-11300? x
D00001,8K72E No. B1-6,6,Earth,1959 Jan  4 1000?,1959 Jan 10 0900?,Entered solar orbit,1959 Jan  5,-2140? x,-241500? x
D00001,8K72E No. B1-6,7,Sun,1959 Jan 10 0900?,-,In solar orbit,1959 Jan  4,0.980? x,1.315?
D00002,AMS Luna-1,0,Earth,1959 Jan  2 1641,,Launch from NIIP-5 LC1 by Vostok-L 8K72,,,
D00002,AMS Luna-1,1,Earth,1959 Jan  2 1641,1959 Jan  2 1653,Separated from launch vehicle,,,
D00002,AMS Luna-1,2,Earth,1959 Jan  2 1653,1959 Jan  3 0349?,Entered deep space,1959 Jan  4,-370? x,-242160? x
D00002,AMS Luna-1,3,Earth,1959 Jan  3 0349?,1959 Jan  3 1956?,Entered lunar sphere,1959 Jan  3,-370? x,-242160? x
D00002,AMS Luna-1,4,Luna,1959 Jan  3 1956?,1959 Jan  4 0300?,Flyby Luna,1959 Jan  4 0300?,6000? x,-11300? x
D00002,AMS Luna-1,5,Luna,1959 Jan  4 0300?,1959 Jan  4 0957?,Entered Earth sphere,1959 Jan  4 0300?,6000? x,-11300? x
D00002,AMS Luna-1,6,Earth,1959 Jan  4 0957?,1959 Jan 10 0900?,Entered solar orbit,1959 Jan  5,-2140? x,-241500? x
D00002,AMS Luna-1,7,Sun,1959 Jan 10 0900?,-,In solar orbit,1959 Jan  4,0.980  x,1.315
D00003,Pioneer 4,0,Earth,1959 Mar  3 0510,,Launch from CC LC5 by Juno II,,,
D00003,Pioneer 4,1,Earth,1959 Mar  3 0510,1959 Mar  3 0515,Separated from launch vehicle,,,
D00003,Pioneer 4,2,Earth,1959 Mar  3 0515,1959 Mar  3 1654,Entered deep space,1959 Mar  3,-45  x,Inf      x
D00003,Pioneer 4,3,Earth,1959 Mar  3 1654,1959 Mar  4 2000?,Entered lunar sphere,1959 Mar  3,-45  x,-393400  x
D00003,Pioneer 4,4,Luna,1959 Mar  4 2000?,1959 Mar  4 2224,Flyby Luna,1959 Mar  4 2224,60000? x,Inf      x
D00003,Pioneer 4,5,Luna,1959 Mar  4 2224,1959 Mar  5 0200?,Entered Earth sphere,1959 Mar  4 2224,60000? x,Inf      x
D00003,Pioneer 4,6,Earth,1959 Mar  5 0200?,1959 Mar 12 1000?,Entered solar orbit,1959 Mar  4,#NAME?,#NAME?
D00003,Pioneer 4,7,Sun,1959 Mar 12 1000?,-,In solar orbit,1959 Mar 17,0.987  x,1.142
D00004,Cluster 12 Assembly 4,0,Earth,1959 Mar  3 0510,,Launch from CC LC5 by Juno II,,,
D00004,Cluster 12 Assembly 4,1,Earth,1959 Mar  3 0510,1959 Mar  3 0515,Separated from launch vehicle,,,
D00004,Cluster 12 Assembly 4,2,Earth,1959 Mar  3 0515,1959 Mar  3 1654,Entered deep space,1959 Mar  3,-45  x,-393400  x
D00004,Cluster 12 Assembly 4,3,Earth,1959 Mar  3 1654,1959 Mar  4 2000?,Entered lunar sphere,1959 Mar  3,-45  x,-393400  x
D00004,Cluster 12 Assembly 4,4,Luna,1959 Mar  4 2000?,1959 Mar  4 2300?,Flyby Luna,1959 Mar  4 2300?,60000? x,Inf      x
D00004,Cluster 12 Assembly 4,5,Luna,1959 Mar  4 2300?,1959 Mar  5 0200?,Entered Earth sphere,1959 Mar  4 2300?,60000? x,Inf      x
D00004,Cluster 12 Assembly 4,6,Earth,1959 Mar  5 0200?,1959 Mar 12 1000?,Entered solar orbit,1959 Mar  3,#NAME?,#NAME?
D00004,Cluster 12 Assembly 4,7,Sun,1959 Mar 12 1000?,-,In solar orbit,1959 Mar 17,0.980? x,1.140?
D00005,Despin weight,0,Earth,1959 Mar  3 0510,,Launch from CC LC5 by Juno II,,,
D00005,Despin weight,1,Earth,1959 Mar  3 0510,1959 Mar  3 1632,Separated from launch vehicle,,,
D00005,Despin weight,2,Earth,1959 Mar  3 1632,1959 Mar  3 1654,Entered deep space,1959 Mar  3,-45  x,-393400  x
